Cohort,Individual,Round,Phase,Puzzler,HR_TD_Mean,HR_TD_Median,HR_TD_std,HR_TD_Min,HR_TD_Max,HR_TD_AUC,HR_TD_Kurtosis,HR_TD_Skew,HR_TD_Slope_min,HR_TD_Slope_max,HR_TD_Slope_mean,HR_TD_Slope,TEMP_TD_Mean,TEMP_TD_Median,TEMP_TD_std,TEMP_TD_Min,TEMP_TD_Max,TEMP_TD_AUC,TEMP_TD_Kurtosis,TEMP_TD_Skew,TEMP_TD_Slope_min,TEMP_TD_Slope_max,TEMP_TD_Slope_mean,TEMP_TD_Slope,EDA_TD_P_Mean,EDA_TD_P_Median,EDA_TD_P_std,EDA_TD_P_Min,EDA_TD_P_Max,EDA_TD_P_AUC,EDA_TD_P_Kurtosis,EDA_TD_P_Skew,EDA_TD_P_Slope_min,EDA_TD_P_Slope_max,EDA_TD_P_Slope_mean,EDA_TD_P_Slope,EDA_TD_T_Mean,EDA_TD_T_Median,EDA_TD_T_std,EDA_TD_T_Min,EDA_TD_T_Max,EDA_TD_T_AUC,EDA_TD_T_Kurtosis,EDA_TD_T_Skew,EDA_TD_T_Slope_min,EDA_TD_T_Slope_max,EDA_TD_T_Slope_mean,EDA_TD_T_Slope,EDA_TD_P_Peaks,EDA_TD_P_RT,EDA_TD_P_ReT,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
3,24,3,3,1,-0.6443948100004637,-0.5994391386188224,-0.3811726730260874,-0.4265828890766908,-0.7259024904557081,-0.711928916966123,-0.5814408034402285,0.12080770965216914,0.5579756560045492,-0.3749884222559907,-0.17303755418585592,-0.1302985073901539,-1.5748383709878668,-1.5659265728966998,-0.6032863858325392,-1.523903816378888,-1.6398340829257043,-0.9862860784583808,0.004765819995156041,-0.47578851104405384,0.07814408061234468,-0.9758694986449857,-0.9842603829760538,-0.6614017785027507,-0.39506309266598555,-0.3087992980824256,-0.6153971615710981,0.24509123091162355,-0.6867802026867292,-0.39739898003437035,1.176140422479855,1.2719053303320642,0.6832531531559224,-0.6944015906372015,-0.3636917180905116,-0.28697557248235783,-0.6263162945704966,-0.6205154152022481,-0.6465501172016264,-0.49051285236047276,-0.691711659228216,-0.6257421795364813,-0.4283945005883452,0.6028217211927392,0.5870481449551052,-0.6358213715437503,0.04274314414307608,0.0021071143470940855,-1.1748211341184456,0.206953631162087,0.5006889836318527,0.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,4.0
3,24,3,2,1,-0.43407669716572306,-0.29963130777825087,-0.38923303694768857,-0.23357668524549724,-0.5149748527896559,-0.3874295601937727,-0.3915041580354261,-0.048231813027734695,0.6411784493735672,-0.36966121924182727,0.09667869876032158,0.09409045002979903,-1.4714404531811855,-1.456355318875257,-0.5376520707451351,-1.4026521770520888,-1.542105351362065,-0.7210443286058489,-0.9996113161812127,-0.27604736781195666,0.5594919247574917,-0.9758694986449857,-0.5590446467190703,-0.5398974991070206,-0.3843446688117531,-0.30185036234654855,-0.5983602638143579,0.02012375134676461,-0.6817821737867434,-0.38649076739441385,-0.7481239894489206,-0.6966747002556223,0.6860524739422372,-0.7151221648432137,-0.3908695862455523,-0.2578486186967895,-0.5642915618856504,-0.5741457433508841,-0.3945715696472714,-0.4673390768684665,-0.5392345539820323,-0.5616630045250257,-0.15806137759721972,1.0633284557233915,0.47436795127392856,-0.6469216515720906,-0.3766313212644927,-0.4186603358966304,0.6053051936053978,-1.041904192735287,-0.6153571733254541,0.25,1.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,3.0,5.0
3,24,3,1,1,-0.7092305235629728,-0.7538981453916594,0.19271192929348796,-0.8930145483354085,-0.38525999540144135,-0.8186019574131885,-0.32911555414645827,0.36465589483297195,-0.018043682703987984,-0.29508037704357537,0.5235529912175431,0.48304887131799823,-1.3452572865719155,-1.3346094810736564,-0.5009800113419021,-1.2935257016579693,-1.4199444369075163,-0.9451780243518538,-0.4960531695113605,-0.8406035445783521,0.5468248762273694,-0.9758694986449857,-0.5128330195535458,-0.6099908792764392,-0.29283815552403825,-0.26345922010658723,-0.34958040618933806,0.21923302194339506,-0.35982281124504467,-0.29778875840035307,-0.5404806240129165,-0.40336786030544863,0.3611778834861238,-0.2839347297699127,-0.045801364403724724,0.2535714030327925,-0.4796526680320882,-0.4306344765050483,-0.12626998168308332,-0.46978474337730014,-0.49767053906508596,-0.4844304822938853,-0.6039937898733602,-0.4129090213323711,0.539868580616437,-0.37186387561138873,0.6567996830098074,0.640942693076954,-0.04201347102145429,1.24980061135714,0.310536374755671,0.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0
3,24,2,3,1,-0.5330086017403757,-0.5600997133013444,-0.2492484913681428,-0.38690939162250043,-0.6700687040146945,-0.5096618005301368,-0.8778345251143115,-0.08087894286605565,0.19316340815580987,-0.4016244373267932,-0.4237139002290623,-0.41567864408705973,-1.229706465421181,-1.2250382270522155,-0.7773679353333888,-1.1480237344658106,-1.3099996138984222,-0.6577030496349499,-0.23601817356632543,0.16050579839216522,0.7854260085403418,-0.76348972861617,-0.21462772800820917,-0.3800942558143976,-0.3902254334115454,-0.30867828043269,-0.5836095060058376,0.009513870044235593,-0.6373305902254524,-0.3924712911902611,0.9301215526251214,1.1608948399431638,0.6167402825654181,-0.5902506207165952,-0.3901199410351742,-0.26820391389548504,-0.5999934266138465,-0.5947333030480624,-0.6177882106667384,-0.4705219116889332,-0.661288125281536,-0.5979553576373071,-0.3780539734819038,0.44269550052025863,0.5460863523744469,-0.593584011132955,0.015564377721333471,-0.017831341825869457,-1.255735967196802,1.162512011002785,0.8493020999048494,0.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0
3,24,2,2,1,-0.35152857983900615,-0.1741592459761881,-0.20796683396544277,-0.4083545253815223,-0.5978795659899492,-0.33446597923535365,-0.762895110700415,-0.8406236363092103,0.6219778047499483,0.0032429917494316636,0.7541964550805821,0.7595593862310317,-1.1145513660928554,-1.115466973030775,-0.7125559486433058,-1.038897259071691,-1.175622607998417,-0.5897393635027096,-0.2463962504932079,0.3761106927435504,0.5553463452385425,-0.7634897286162868,-0.6464534859373047,-0.48765584467010603,-0.3806480630594951,-0.303275755571361,-0.5432634733108225,-0.13218498546698598,-0.5502413585985539,-0.3828294006530741,1.9622172080410498,1.8621572765308927,0.49533211244469194,-0.41414928129172757,-0.33369556043414855,-0.25730985209082874,-0.529653796210655,-0.5289558509973445,-0.48977288999332635,-0.4096034756366824,-0.5557411533752958,-0.5277391703890444,-0.128461271056504,1.052321744694837,0.5451230162574917,-0.5714029887325088,-0.2031979770894573,-0.2485876319425404,-0.9320766348833759,0.004259429377696455,-0.8356612954146404,0.25,1.0,1.0,4.0,1.0,3.0,2.0,5.0,1.0,4.0,5.0
3,24,2,1,1,-0.8280930084135069,-0.6611399214851836,-0.6068161549351,-0.9927344203148586,-0.9576973008320384,-0.9348299376343391,0.021618987681807388,-0.8661845475857939,0.6539788791226433,-0.27909876800109235,0.5992870579962595,0.6134329486499951,-1.0100779667416349,-0.993721135229174,0.7161427870164716,-1.0995230787350896,-0.9679490534256836,-0.8436880467574663,-0.41196175864642987,-0.6649227699561524,-0.16714680307400911,0.3341365594765459,0.43222721542408205,0.6732980895686105,-0.3596667270480047,-0.29695300758671134,-0.4660362749270434,0.256410581828759,-0.4028672262879769,-0.36308807388519365,1.515854091292553,1.4637470462125435,0.32907755755735196,-0.285222085525175,-0.2779998731858237,-0.46254819558779,-0.2927137911627502,-0.3055300679605319,-0.041013066851010735,-0.2386381394414251,-0.23698074300489871,-0.3059378560445019,-0.41049305420851817,0.5329133108931611,0.48276915550931376,-0.589669912660007,-0.8177339819985056,-0.8927211055467467,-0.7702469687266629,0.8358253854162216,0.1341982716525463,0.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,3.0,4.0
3,24,4,3,1,-0.8481423566088129,-0.9808245145914293,0.2702860061680037,-0.9058816285908219,-0.33168211952370136,-1.8782148687542979,-0.0012980837041006628,0.9960311767170542,0.15476211890857222,-0.5241501066524867,-1.2364289424814445,-1.2447308627647455,-2.056952255425049,-2.0650845078832623,-0.504108416064621,-1.984660045820728,-2.1040455578529893,-2.7731439964795657,-0.5544467758701463,0.8164445348845157,0.31893421413929746,-0.7615412903590582,-0.3915806572892607,-0.5878336803933376,-0.39137874932531275,-0.3076717785350577,-0.6088768251507471,0.22209952113226195,-0.6895568377035466,-0.3952001990308696,-0.3183051331652483,-0.03689268112854329,0.6972379501530138,-0.7095590475986374,-0.3519871466132907,-0.28107919668596676,-0.62547232678148,-0.6172304217384431,-0.680870120346928,-0.48519772692495655,-0.7034310902404027,-0.6405788670825739,-0.30985824399504414,-0.35613963387458997,0.5751327592169239,-0.6269745232144979,0.14668298502947275,0.10898392849307643,-0.9320766348833759,3.0999526929938424,0.45843284832603365,0.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0
3,24,4,2,1,-0.8996943735705147,-0.7605237328135503,-0.4706859821241667,-0.7804275961005457,-0.7851201427416317,-0.6066843393947514,0.2576276456502792,0.511081266127948,0.7947836063625087,-0.21517233183116005,1.0908459403543662,1.0976978443633352,-1.91247950487028,-1.906814918741182,-0.844198823686811,-1.839158078628567,-1.9941007348438955,-0.618608648947514,1.1710891051993442,-1.1323293355954551,0.5287986917806572,-0.7533764062339734,-0.26586017475752666,-0.3690379923844968,-0.38975057994641665,-0.3065174778628146,-0.6055626380959243,0.256410581828759,-0.6850723407681755,-0.3916058638262542,-0.37929734654209485,-0.12041398506839998,0.6748623082982813,-0.703629585925677,-0.3610675951975994,-0.29354690539018474,-0.6286571734086877,-0.6219779625363994,-0.6591947405154325,-0.49934084249545624,-0.7015733106904597,-0.6230425170464642,-0.41027933244363257,-0.13682400464825148,0.5655882354053919,-0.6295047626840226,0.09362718908393933,0.05510944360745831,-0.1229283040998108,-1.2569489372807334,-0.8356612954146404,0.25,2.0,1.0,5.0,1.0,4.0,3.0,5.0,1.0,4.0,5.0
3,24,4,1,1,-0.8119412688953778,-0.6905409656698246,0.008713014528968686,-2.120748456039392,-0.6080311635246786,-1.6772992693223363,-0.4579424257204877,-0.1716368452794195,0.21663086269578438,5.607460562646614,1.724631739498205,0.9883771489545432,-1.7846658425000184,-1.7850690809395813,-0.6471294134856322,-1.6936561114364084,-1.8230754546075283,-2.167723987863446,-0.03878506639056496,1.0046864139581269,0.2923981586078063,-0.7512370495761763,-0.503205128280867,-0.6812630407932091,-0.39416182121170557,-0.3080611059640358,-0.6129163625468657,0.256410581828759,-0.6807045225671701,-0.397121487557298,1.7982015423032969,1.7361088048041124,0.6559744487747743,-0.6786850820373178,-0.3756451283555372,-0.2931698472278609,-0.6138013290917352,-0.6071630397281635,-0.6703871376638448,-0.4681373594691119,-0.6872443030026968,-0.6257147431063443,-0.2588607345801492,0.7368592926105318,0.5801525620175936,-0.6305847538704236,0.08216403081533845,0.043597658423997133,-0.6893321356483064,-0.3818247644973327,0.3844846115408523,0.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,4.0
3,24,1,3,1,0.02290102529321877,0.13227417228627564,-0.6872766128817582,0.4987746326250896,-0.4410937818424557,-0.126774178846578,-0.6451609745736444,-0.6432026238422522,0.16116233378311487,-0.27909876800109235,0.09715671183938931,0.12732825902009906,-1.154594579838102,-1.1519907243712544,-0.8845050484064902,-1.0510224230043708,-1.2489191566711468,-0.7657829560017746,-0.2737039338170659,0.46562915515080217,0.7811652740348818,-0.759556769911937,-0.15856821719035438,-0.24712142602479717,-0.31313057342651335,-0.2810611535999138,-0.404912352859002,0.256410581828759,-0.44530107649602263,-0.3165376900692459,-0.6693520380623205,-0.5654514271888724,0.3464330094944582,-0.3391697926916854,-0.16823253282373368,-0.23846578695738643,-0.4032762296839431,-0.39870346030904336,-0.3856762636065873,-0.31748977332196393,-0.44962866699448684,-0.40729319189437596,-0.346787394562366,-0.41266313288795015,0.511533071485161,-0.41630053555316904,0.4590492142128358,0.4242249805281804,-0.20384313717816732,1.301502320797796,0.49746108440710196,0.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,1.0,3.0,5.0
